2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,396
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,3368
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Special,208
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Total,3916
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,225
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1887
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,339
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Special,124
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Total,2593
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1772
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,145
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Total,3491
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Special,210
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,468
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2446
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,64
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,303
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Total,1207
2022-2023,Academic year,National,E92000001,England,E92000001,England,Total maintained,21980
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,1144
2022-2023,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,3188
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,2243
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,2083
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,2418
2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,2571
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,514
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2604
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,42
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2664
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,168
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1653
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,293
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,105
2022-2023,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2251
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,246
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,56
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1774
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,420
2022-2023,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,168
2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,230
2022-2023,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,548
2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,38
2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1989
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,327
2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Special,148
2022-2023,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2801
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,534
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Nursery,77
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Primary,1796
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Secondary,513
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Special,211
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Total,3131
2022-2023,Academic year,Regional,E92000001,England,E12000007,London,Total maintained,2597
2022-2023,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,2368
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,117
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Secondary,178
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Middle,0
2022-2023,Academic year,National,E92000001,England,E92000001,England,Middle,0
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Middle,0
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Special,79
2022-2023,Academic year,National,E92000001,England,E92000001,England,Non-maintained mainstream,2462
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Middle,27
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Non-maintained mainstream,79
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Nursery,6
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Primary,1213
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Special,39
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Total maintained,29616
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Total,1542
2022-2023,Academic year,National,W92000004,Wales,W92000004,Wales,Total maintained,1463
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Non-maintained mainstream,14
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Nursery,93
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Primary,782
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Secondary,192
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Special,39
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Total,1121
2022-2023,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Total maintained,1106
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Non-maintained mainstream,0
2022-2023,Academic year,National,E92000001,England,E92000001,England,Nursery,383
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Total,32172
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Total maintained,5067
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,174
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Primary,862
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,29
2022-2023,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,63
2022-2023,Academic year,National,E92000001,England,E92000001,England,Total,24442
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Nursery,2606
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Primary,1994
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Special,1557
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Special,109
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Total,5067
2022-2023,Academic year,National,S92000003,Scotland,S92000003,Scotland,Secondary,358
2022-2023,Academic year,National,E92000001,England,E92000001,England,Special,1370
2022-2023,Academic year,National,E92000001,England,E92000001,England,Secondary,3444
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Secondary,4172
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Primary,20772
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Nursery,3088
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Non-maintained mainstream,2555
2022-2023,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2388
2022-2023,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Middle,27
2022-2023,Academic year,National,E92000001,England,E92000001,England,Primary,16783
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2792
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,542
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Special,144
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Primary,1798
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,38
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,224
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2663
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,395
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1991
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Nursery,78
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,56
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,165
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Total,3484
2021-2022,Academic year,National,E92000001,England,E92000001,England,Primary,16786
2021-2022,Academic year,National,E92000001,England,E92000001,England,Secondary,3473
2021-2022,Academic year,National,E92000001,England,E92000001,England,Special,1360
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,60
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,30
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Primary,863
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,176
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Special,78
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Total,1207
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,290
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,64
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2448
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,471
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Special,211
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,154
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,425
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1774
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,332
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,114
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2401
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,170
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1648
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,295
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,106
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2251
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,245
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Special,213
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1772
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Secondary,518
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Special,207
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Total,3149
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Nursery,2630
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Secondary,357
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Special,111
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Total,5099
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Total maintained,5099
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Middle,23
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Non-maintained mainstream,79
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Nursery,8
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Primary,1217
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Secondary,182
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Special,40
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Total,1549
2021-2022,Academic year,National,W92000004,Wales,W92000004,Wales,Total maintained,1470
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Non-maintained mainstream,14
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Nursery,94
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Primary,784
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Secondary,192
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Special,39
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Total,1124
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Total maintained,1109
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Primary,2001
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,2372
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,544
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,3370
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,42
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2604
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,517
2021-2022,Academic year,Regional,E92000001,England,E12000008,South East,Total,3914
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,221
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1888
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,344
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Special,122
2021-2022,Academic year,Regional,E92000001,England,E12000009,South West,Total,2593
2021-2022,Academic year,National,E92000001,England,E92000001,England,Non-maintained mainstream,2450
2021-2022,Academic year,National,E92000001,England,E92000001,England,Total maintained,22004
2021-2022,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,1147
2021-2022,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,3194
2021-2022,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,2247
2021-2022,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,2081
2021-2022,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,2418
2021-2022,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,2568
2021-2022,Academic year,Regional,E92000001,England,E12000007,London,Total maintained,2607
2021-2022,Academic year,National,E92000001,England,E92000001,England,Nursery,385
2021-2022,Academic year,National,E92000001,England,E92000001,England,Total,24454
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Middle,0
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Secondary,4204
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Total,32226
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Total maintained,29682
2021-2022,Academic year,National,S92000003,Scotland,S92000003,Scotland,Non-maintained mainstream,0
2021-2022,Academic year,National,E92000001,England,E92000001,England,Middle,0
2021-2022,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Middle,0
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Middle,23
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Non-maintained mainstream,2543
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Primary,20788
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Nursery,3117
2021-2022,Academic year,National,K02000001,United Kingdom,K02000001,United Kingdom,Special,1550
2020-2021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1771
2020-2021,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,545
2020-2021,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2791
2020-2021,Academic year,Regional,E92000001,England,E12000006,East of England,Special,140
2020-2021,Academic year,National,N92000002,Northern Ireland,N92000002,Northern Ireland,Non-maintained mainstream,15
2020-2021,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,394
2020-2021,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1992
2020-2021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,164
2020-2021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
2020-2021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1644
2020-2021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,420
2020-2021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,106
2020-2021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2239
